Date,Open,High,Low,Close,Volume
20-05-2025,22942.65,22958.6,22565.55,22585.6,2870000000
19-05-2025,22896.25,22965.05,22827.65,22865.8,3860000000
16-05-2025,22825.55,22885.35,22750.35,22870.9,3210000000
15-05-2025,22547.05,22814.1,22408.65,22788.8,2880000000
14-05-2025,22402.65,22544.9,22366.4,22499.5,2540000000
13-05-2025,22491.5,22575.7,22317.5,22349.4,2590000000
12-05-2025,22149.4,22525,22126.4,22511.4,2950000000
09-05-2025,21463.75,21716.05,21463.75,21675.55,2860000000
08-05-2025,22109.35,22145.2,21730.55,21843.05,2460000000
07-05-2025,21756.8,22084.7,21752.9,22072.45,2390000000
06-05-2025,22235.6,22244.5,21916.9,21956.6,2380000000
05-05-2025,22086.25,22209.95,22070.95,22195.15,1820000000
02-05-2025,22009.95,22238.9,21920.85,22006,2110000000
30-04-2025,22119.2,22175,21920.55,22030.05,2190000000
29-04-2025,22160.75,22255.9,22084.55,22112.4,2190000000
28-04-2025,21843.45,22125.45,21841.4,22101.85,2030000000
25-04-2025,22220.3,22271.85,21661.6,21848.15,4100000000
24-04-2025,22217.65,22270.15,22155.4,22180.65,2430000000
23-04-2025,22238.6,22263.85,21988.35,22237.6,2630000000
22-04-2025,22072,22157.95,21953.4,22085.15,2840000000
21-04-2025,21787.05,22033.75,21732.45,22005.75,3320000000
17-04-2025,21379.35,21704.1,21296.35,21681.55,2450000000
16-04-2025,21302.75,21414.85,21246.4,21404.35,2310000000
15-04-2025,21199.05,21302.75,21067.6,21279.4,2310000000
11-04-2025,20684.85,20817.5,20629,20752.85,2220000000
09-04-2025,20422.95,20423.25,20252.35,20356.75,2070000000
08-04-2025,20430.1,20588.4,20227.15,20480.8,2410000000
07-04-2025,19524.25,20189.35,19519.85,20105.7,3190000000
04-04-2025,21199.2,21212.1,20736.8,20805.35,2540000000
03-04-2025,21100.55,21263.45,21096.75,21243.4,2440000000
02-04-2025,21101.85,21279.1,21007.15,21265.65,2570000000
01-04-2025,21227.1,21398.35,21042.45,21070.75,3890000000
28-03-2025,21439.2,21514.1,21277.9,21339.55,2770000000
27-03-2025,21218.4,21447.9,21195.7,21407.95,4350000000
26-03-2025,21464.95,21525.6,21255.7,21275.45,2440000000
25-03-2025,21652.85,21674.05,21385.8,21437.75,2440000000
24-03-2025,21427.2,21595.85,21346.8,21538.1,2610000000
21-03-2025,21065.25,21297,21031.45,21273.9,3560000000
20-03-2025,20989.35,21092.2,20873.55,21070.05,2320000000
19-03-2025,20713.25,20895.25,20664,20864.5,2750000000
18-03-2025,20418.55,20676.95,20370.2,20657.2,1950000000
17-03-2025,20166.6,20358.25,20166.5,20288.3,1670000000
13-03-2025,20337.85,20357.3,20157.5,20176.05,1790000000
12-03-2025,20351.9,20397.95,20108.7,20264.35,2150000000
11-03-2025,20122.55,20333.75,20073.4,20302.5,2010000000
10-03-2025,20434.95,20543.7,20230.65,20266.5,2000000000
07-03-2025,20428.15,20549.2,20377.6,20443.4,2020000000
06-03-2025,20411.45,20467.15,20262.75,20447.1,2070000000
05-03-2025,19901.6,20265.05,19901.6,20256.5,2160000000
04-03-2025,19736.05,19957.5,19681.65,19917.85,2090000000
03-03-2025,19935.55,19997.05,19658.3,19896.95,2360000000
28-02-2025,20185.4,20197.85,19816,19880.9,3030000000
27-02-2025,20436.5,20471.85,20278.65,20315.55,1920000000
25-02-2025,20445.55,20548.9,20388.75,20418.75,1450000000
24-02-2025,20510.95,20546.05,20429.3,20468.45,1440000000
21-02-2025,20792.05,20903.35,20616.6,20690.25,1840000000
20-02-2025,20645.7,20840.35,20630.2,20831.1,1650000000
